tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1025,neutral,0.6,,0.0,American,,User4782,,79,@AlaskaAir announced their merger talks with Hawaiian Airlines.,,2015-02-21 13:42:00 ,Dallas,Pacific Time
1026,negative,0.73,Bad flight,0.7,US Airways,,User3755,,58,@United I was charged for TWO bags when I should have only been charged for one. Theft!,,2015-04-22 02:00:00 ,Boston,Eastern Time
1027,positive,0.71,,0.0,Virgin America,,User1293,,8,Always a pleasure flying @VirginAmerica. The mood lighting is so relaxing!,,2015-04-04 11:18:00 ,Miami,
1028,neutral,0.89,,0.0,American,,User849,,85,@AmericanAir updated the carry-on size requirements for basic economy tickets.,,2015-06-22 09:59:00 ,NYC,Pacific Time
1029,negative,0.9,Canceled flight,0.64,United,,User2163,,91,@United my flight was delayed 6 hours and no one gave us a reason. Awful experience.,,2015-04-29 06:43:00 ,Miami,Pacific Time
1030,neutral,0.54,,0.0,JetBlue,,User1072,,35,@Delta departing on time from ATL to LAX today.,,2015-02-12 00:21:00 ,LA,Central Time
1031,neutral,0.78,,0.0,American,,User1222,,14,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-02-20 22:57:00 ,,Pacific Time
1032,positive,0.77,,0.0,American,,User2932,,39,Love flying @JetBlue. Legroom is awesome and the snacks are tasty. :),,2015-05-05 01:57:00 ,Chicago,Central Time
1033,neutral,0.81,,0.0,JetBlue,,User1332,,79,@JetBlue introduced a new menu for transatlantic flights.,,2015-03-12 07:55:00 ,NYC,Mountain Time
1034,negative,0.97,longlines,0.9,United,,User3134,,34,@JetBlue the plane was freezing. Asked for a blanket and they had none. Great service.,,2015-03-13 22:06:00 ,,Mountain Time
1035,negative,0.74,Lost luggage,0.61,United,,User569,,51,"@AmericanAir 2 hour delay and counting. No updates, no water, no nothing. Pathetic!",,2015-04-26 08:55:00 ,LA,Pacific Time
1036,positive,0.87,,0.0,Virgin America,,User4757,,3,The in-flight entertainment on @JetBlue is top notch. Great job!,,2015-03-02 08:11:00 ,LA,Eastern Time
1037,negative,0.74,Flight booking problems,0.72,Delta,,User364,,49,@AlaskaAir gate agent was incredibly rude. Made me check a bag that fit in the overhead. Ugh.,,2015-06-28 06:16:00 ,Seattle,Eastern Time
1038,positive,0.87,,0.0,United,,User2705,,46,@United great legroom and the food was surprisingly good. Will fly again!,,2015-05-22 02:42:00 ,Dallas,Eastern Time
1039,neutral,0.7,,0.0,JetBlue,,User4542,,41,@SouthwestAir baggage fees remain unchanged for domestic flights.,,2015-05-15 22:18:00 ,NYC,Central Time
1040,positive,0.87,,0.0,Southwest,,User4489,,78,The in-flight entertainment on @JetBlue is top notch. Great job!,,2015-06-26 09:25:00 ,,Pacific Time
1041,negative,0.91,Flight booking problems,0.73,Alaska,,User1391,,86,@AlaskaAir gate agent was incredibly rude. Made me check a bag that fit in the overhead. Ugh.,,2015-03-27 16:30:00 ,Boston,Pacific Time
1042,positive,0.85,,0.0,Delta,,User1841,,96,Another smooth flight with @AlaskaAir. You guys never disappoint!,,2015-04-02 21:19:00 ,Chicago,Central Time
1043,negative,0.99,Customer service issue,0.73,United,,User3274,,91,@AmericanAir the food was cold and stale. Paying for this garbage? Never again.,,2015-07-29 12:31:00 ,Chicago,Central Time
1044,neutral,0.86,,0.0,Delta,,User4244,,99,@AmericanAir flight 123 is currently boarding at gate B42.,,2015-05-20 07:11:00 ,Miami,Eastern Time
1045,positive,0.78,,0.0,Alaska,,User2600,,85,@VirginAmerica The seats were so comfortable and the WiFi actually worked! Will fly again!,,2015-06-16 17:38:00 ,Miami,
1046,neutral,0.67,,0.0,Alaska,,User2026,,20,@United launched a mobile app update with improved seat selection.,,2015-06-02 14:16:00 ,LA,
1047,positive,0.71,,0.0,Delta,,User2752,,91,@USAirways Thank you for the upgrade! Best service I've had in a long time.,,2015-04-15 07:17:00 ,Dallas,
1048,negative,0.69,Canceled flight,0.85,Delta,,User3817,,53,@USAirways the seats are so uncomfortable. My back hurts. Never flying with you again.,,2015-05-16 10:34:00 ,Seattle,Eastern Time
1049,negative,0.76,Late flight,0.93,JetBlue,,User3195,,61,@AlaskaAir gate agent was incredibly rude. Made me check a bag that fit in the overhead. Ugh.,,2015-02-02 11:19:00 ,Seattle,
1050,neutral,0.82,,0.0,United,,User3979,,62,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-03-29 08:27:00 ,,Mountain Time
1051,negative,0.92,Canceled flight,0.92,Southwest,,User3228,,79,@SouthwestAir no power outlets at my seat. My phone died mid-flight. Very inconvenient.,,2015-06-17 00:58:00 ,,Eastern Time
1052,positive,0.95,,0.0,Southwest,,User1734,,6,Love flying @JetBlue. Legroom is awesome and the snacks are tasty. :),,2015-04-08 12:20:00 ,Miami,Pacific Time
1053,negative,0.71,longlines,0.63,Delta,,User427,,60,@JetBlue your WiFi never works. Paying for internet that doesn't connect. Ridiculous.,,2015-02-05 23:34:00 ,Dallas,Central Time
1054,neutral,0.88,,0.0,American,,User167,,96,@AlaskaAir released their customer satisfaction survey results.,,2015-02-08 07:12:00 ,NYC,Central Time
1055,negative,0.65,Lost luggage,0.73,US Airways,,User4975,,98,@SouthwestAir no power outlets at my seat. My phone died mid-flight. Very inconvenient.,,2015-05-06 05:38:00 ,Boston,Central Time
1056,neutral,0.73,,0.0,US Airways,,User1625,,73,@United just published their new route map for next summer.,,2015-07-24 12:25:00 ,Boston,
1057,neutral,0.6,,0.0,US Airways,,User4637,,87,@Delta confirmed order for 100 new Airbus A321neo aircraft.,,2015-07-04 03:50:00 ,,Pacific Time
1058,positive,0.75,,0.0,Virgin America,,User3552,,1,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-05-19 15:06:00 ,Dallas,Mountain Time
1059,neutral,0.57,,0.0,US Airways,,User3569,,78,@AmericanAir flight AA456 is rescheduled to depart at 3:45 PM from Terminal 4.,,2015-06-18 15:29:00 ,LA,Pacific Time
1060,neutral,0.61,,0.0,Alaska,,User3105,,31,@SouthwestAir will be offering complimentary coffee and tea on all morning flights.,,2015-05-30 18:39:00 ,Dallas,Eastern Time
1061,positive,0.67,,0.0,United,,User4884,,45,@AmericanAir landed safely despite turbulence. Pilots did an amazing job!,,2015-04-08 10:17:00 ,LA,
1062,negative,0.63,longlines,0.74,United,,User4021,,88,@AlaskaAir overbooked and bumped me off my flight. Terrible communication.,,2015-06-02 20:45:00 ,Miami,Eastern Time
1063,negative,0.76,Lost luggage,0.65,Virgin America,,User3486,,60,@AmericanAir the food was cold and stale. Paying for this garbage? Never again.,,2015-06-22 16:22:00 ,Dallas,Pacific Time
1064,neutral,0.62,,0.0,United,,User4390,,15,@Delta has partnered with a new hotel chain for loyalty members.,,2015-03-22 10:07:00 ,NYC,Central Time
1065,negative,0.71,Bad flight,0.99,United,,User2477,,37,@Delta I paid for extra legroom and got a middle seat. False advertising much?,,2015-03-31 11:11:00 ,,
1066,negative,0.99,Bad flight,0.85,Southwest,,User101,,81,@Delta flight canceled last minute with no explanation. Stranded at the airport. Terrible!,,2015-06-06 03:55:00 ,LA,Mountain Time
1067,positive,0.67,,0.0,American,,User536,,32,@AmericanAir landed safely despite turbulence. Pilots did an amazing job!,,2015-06-03 03:52:00 ,Seattle,Mountain Time
1068,negative,0.87,Canceled flight,0.57,US Airways,,User3410,,10,@Delta my flight was overbooked and I voluntold. But the compensation was insulting.,,2015-04-05 03:35:00 ,Chicago,
1069,positive,0.72,,0.0,JetBlue,,User4995,,39,Thank you @SouthwestAir for the free drinks and friendly smiles. You made my day!,,2015-06-26 19:03:00 ,Boston,Central Time
1070,positive,0.86,,0.0,Southwest,,User1283,,30,Flying with @Delta today and everything was perfect. No complaints at all!,,2015-03-17 17:04:00 ,,Mountain Time
1071,positive,0.79,,0.0,American,,User3720,,29,@JetBlue the snacks are always fresh and the crew makes me feel welcome. 5 stars!,,2015-04-15 22:18:00 ,Boston,Central Time
1072,neutral,0.74,,0.0,United,,User1221,,54,@Delta confirmed order for 100 new Airbus A321neo aircraft.,,2015-03-02 17:14:00 ,LA,Central Time
1073,negative,0.92,Bad flight,0.72,Alaska,,User2231,,88,@JetBlue flight attendants were rude and ignored my request. Very disappointed.,,2015-04-19 22:25:00 ,Miami,Mountain Time
1074,negative,0.96,Flight booking problems,0.8,American,,User4713,,11,@Delta flight canceled last minute with no explanation. Stranded at the airport. Terrible!,,2015-03-31 21:53:00 ,,Pacific Time
1075,positive,0.9,,0.0,Alaska,,User2279,,66,@AmericanAir great prices and great service. What more could you ask for?,,2015-07-17 14:58:00 ,NYC,
1076,positive,0.99,,0.0,Alaska,,User857,,44,@Delta flight delay but your customer service handled it beautifully. Impressed!,,2015-05-16 10:20:00 ,NYC,Pacific Time
1077,positive,0.72,,0.0,JetBlue,,User722,,97,@Delta flight delay but your customer service handled it beautifully. Impressed!,,2015-06-21 01:29:00 ,Dallas,Pacific Time
1078,negative,0.76,Late flight,0.83,Alaska,,User2964,,52,@AlaskaAir my miles expired without warning. No courtesy email or anything. Shady practices.,,2015-02-14 06:33:00 ,Miami,Mountain Time
1079,neutral,0.61,,0.0,Southwest,,User995,,36,@AlaskaAir is hiring 500 new flight attendants across their network.,,2015-05-24 22:31:00 ,,
1080,neutral,0.56,,0.0,American,,User930,,70,@United is renovating their United Club at San Francisco International.,,2015-05-16 02:14:00 ,Miami,Eastern Time
1081,positive,0.8,,0.0,US Airways,,User3953,,65,Love flying @JetBlue. Legroom is awesome and the snacks are tasty. :),,2015-07-31 08:26:00 ,Miami,Central Time
1082,positive,0.75,,0.0,Southwest,,User4160,,8,Love flying @JetBlue. Legroom is awesome and the snacks are tasty. :),,2015-04-12 13:21:00 ,LA,Eastern Time
1083,negative,0.93,Damaged luggage,0.93,Alaska,,User4522,,68,@SouthwestAir cancelled my return flight and made me rebook. Missing my event now. Thanks a lot!,,2015-06-04 11:21:00 ,Seattle,Mountain Time
1084,neutral,0.89,,0.0,United,,User3366,,73,@AlaskaAir is hiring 500 new flight attendants across their network.,,2015-05-10 07:54:00 ,,Pacific Time
1085,neutral,0.87,,0.0,JetBlue,,User4058,,49,@United is renovating their United Club at San Francisco International.,,2015-07-20 20:09:00 ,,Central Time
1086,positive,0.73,,0.0,Delta,,User3744,,56,Landed on time with @USAirways. Rare these days but much appreciated!,,2015-02-26 16:58:00 ,,Central Time
1087,positive,0.99,,0.0,Delta,,User3257,,60,Another smooth flight with @AlaskaAir. You guys never disappoint!,,2015-04-09 10:39:00 ,Boston,Pacific Time
1088,neutral,0.65,,0.0,Virgin America,,User561,,80,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-06-05 17:02:00 ,Chicago,Pacific Time
1089,neutral,0.54,,0.0,Delta,,User824,,97,@JetBlue flight B6589 is operating as scheduled today.,,2015-07-13 22:55:00 ,Miami,Central Time
1090,neutral,0.52,,0.0,American,,User1193,,37,@AmericanAir flight 123 is currently boarding at gate B42.,,2015-05-03 11:27:00 ,Chicago,
1091,positive,0.92,,0.0,Southwest,,User3134,,22,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-02-21 19:55:00 ,Chicago,Mountain Time
1092,neutral,0.59,,0.0,US Airways,,User3812,,58,@USAirways is updating their baggage policy effective next month.,,2015-04-07 21:00:00 ,LA,
1093,negative,0.98,Bad flight,0.82,JetBlue,,User2475,,88,"@AmericanAir 2 hour delay and counting. No updates, no water, no nothing. Pathetic!",,2015-04-06 14:54:00 ,Chicago,Mountain Time
1094,neutral,0.59,,0.0,Virgin America,,User180,,73,@United just published their new route map for next summer.,,2015-04-17 22:18:00 ,Seattle,Pacific Time
1095,negative,0.91,Late flight,0.96,Alaska,,User2887,,36,@SouthwestAir no power outlets at my seat. My phone died mid-flight. Very inconvenient.,,2015-03-31 19:51:00 ,Chicago,Central Time
1096,positive,0.9,,0.0,Southwest,,User323,,80,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-02-25 20:41:00 ,LA,Mountain Time
1097,negative,0.89,Customer service issue,0.95,Virgin America,,User1083,,95,@USAirways checked my bag and it came back damaged. Who pays for this mess?,,2015-05-18 05:12:00 ,Dallas,
1098,positive,0.93,,0.0,US Airways,,User2775,,61,Flying with @Delta today and everything was perfect. No complaints at all!,,2015-04-17 23:55:00 ,Boston,Mountain Time
1099,neutral,0.8,,0.0,United,,User4566,,86,@USAirways is updating their baggage policy effective next month.,,2015-07-23 12:54:00 ,Dallas,Eastern Time
1100,neutral,0.61,,0.0,Delta,,User2148,,58,@AmericanAir flight 123 is currently boarding at gate B42.,,2015-05-06 21:47:00 ,Seattle,Pacific Time
1101,negative,0.79,Flight booking problems,0.96,United,,User3804,,82,@AmericanAir the food was cold and stale. Paying for this garbage? Never again.,,2015-02-17 20:52:00 ,LA,Mountain Time
1102,negative,0.98,Bad flight,1.0,Delta,,User3184,,12,@Delta flight canceled last minute with no explanation. Stranded at the airport. Terrible!,,2015-04-02 17:08:00 ,Miami,Pacific Time
1103,neutral,0.78,,0.0,JetBlue,,User812,,75,@JetBlue flight B6589 is operating as scheduled today.,,2015-03-12 13:41:00 ,Miami,
1104,positive,0.61,,0.0,Virgin America,,User2972,,27,Flying with @Delta today and everything was perfect. No complaints at all!,,2015-05-25 14:15:00 ,Boston,Pacific Time
1105,positive,0.74,,0.0,JetBlue,,User3726,,35,Another smooth flight with @AlaskaAir. You guys never disappoint!,,2015-03-21 03:54:00 ,Boston,Central Time
1106,positive,0.99,,0.0,American,,User4626,,100,@JetBlue the snacks are always fresh and the crew makes me feel welcome. 5 stars!,,2015-04-27 07:08:00 ,Chicago,Eastern Time
1107,neutral,0.58,,0.0,United,,User4883,,29,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-04-26 04:50:00 ,,Pacific Time
1108,neutral,0.9,,0.0,US Airways,,User212,,22,@USAirways is updating their baggage policy effective next month.,,2015-03-01 21:55:00 ,NYC,Eastern Time
1109,positive,0.84,,0.0,American,,User3449,,22,@USAirways Thank you for the upgrade! Best service I've had in a long time.,,2015-04-09 01:08:00 ,Boston,Eastern Time
1110,positive,0.74,,0.0,Delta,,User356,,57,@AmericanAir great prices and great service. What more could you ask for?,,2015-06-09 07:39:00 ,LA,Mountain Time
1111,positive,0.62,,0.0,Alaska,,User4017,,51,Amazing flight crew! So friendly and attentive. @AmericanAir you guys rock!,,2015-05-21 21:06:00 ,Miami,Eastern Time
1112,neutral,0.74,,0.0,Delta,,User4796,,16,@United is testing a new boarding process at Denver International Airport.,,2015-04-12 19:40:00 ,Dallas,Mountain Time
1113,neutral,0.62,,0.0,JetBlue,,User4517,,12,@United launched a mobile app update with improved seat selection.,,2015-07-30 03:54:00 ,Chicago,Mountain Time
1114,positive,0.77,,0.0,Alaska,,User2561,,51,@USAirways Thank you for the upgrade! Best service I've had in a long time.,,2015-05-18 23:06:00 ,Seattle,Pacific Time
1115,neutral,0.88,,0.0,Alaska,,User3538,,8,@JetBlue introduced a new menu for transatlantic flights.,,2015-02-24 02:05:00 ,Boston,Pacific Time
1116,neutral,0.52,,0.0,Virgin America,,User3465,,85,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-03-04 13:22:00 ,,Pacific Time
1117,positive,0.64,,0.0,United,,User887,,19,Just booked my next flight with @VirginAmerica. Can't wait! Always a great experience.,,2015-07-19 15:14:00 ,Dallas,
1118,positive,0.71,,0.0,United,,User4561,,54,@AmericanAir great prices and great service. What more could you ask for?,,2015-06-24 19:39:00 ,,
1119,neutral,0.61,,0.0,Southwest,,User2784,,34,@United is renovating their United Club at San Francisco International.,,2015-07-30 09:58:00 ,Dallas,Eastern Time
1120,negative,0.83,longlines,0.53,American,,User3440,,11,@USAirways the seats are so uncomfortable. My back hurts. Never flying with you again.,,2015-06-16 06:24:00 ,Miami,Pacific Time
1121,negative,0.89,Customer service issue,0.94,Southwest,,User669,,20,@SouthwestAir cancelled my return flight and made me rebook. Missing my event now. Thanks a lot!,,2015-07-09 01:43:00 ,LA,Mountain Time
1122,neutral,0.74,,0.0,JetBlue,,User2828,,34,@SouthwestAir new safety video went live today.,,2015-03-28 16:07:00 ,Seattle,Eastern Time
1123,negative,0.84,Bad flight,0.52,JetBlue,,User2470,,76,@SouthwestAir no power outlets at my seat. My phone died mid-flight. Very inconvenient.,,2015-02-15 00:13:00 ,Chicago,Central Time
1124,neutral,0.63,,0.0,American,,User3115,,63,@SouthwestAir baggage fees remain unchanged for domestic flights.,,2015-05-22 05:08:00 ,Chicago,
1125,positive,0.92,,0.0,Delta,,User3767,,50,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-02-11 13:01:00 ,Boston,Pacific Time
1126,positive,0.76,,0.0,JetBlue,,User2661,,37,Landed on time with @USAirways. Rare these days but much appreciated!,,2015-03-02 12:01:00 ,NYC,
1127,positive,0.97,,0.0,Delta,,User4825,,55,@Delta your app makes checking in so easy. Technology done right!,,2015-02-28 07:27:00 ,Seattle,
1128,negative,0.9,Lost luggage,0.67,Southwest,,User4347,,9,@SouthwestAir cancelled my return flight and made me rebook. Missing my event now. Thanks a lot!,,2015-06-11 20:07:00 ,Chicago,Pacific Time
1129,positive,0.93,,0.0,United,,User1422,,13,Another smooth flight with @AlaskaAir. You guys never disappoint!,,2015-03-10 08:12:00 ,NYC,Eastern Time
1130,negative,0.85,Damaged luggage,0.88,Alaska,,User2648,,87,@AlaskaAir my miles expired without warning. No courtesy email or anything. Shady practices.,,2015-06-25 20:40:00 ,Dallas,Central Time
1131,positive,0.78,,0.0,US Airways,,User4157,,35,@Delta flight delay but your customer service handled it beautifully. Impressed!,,2015-07-02 01:22:00 ,Boston,Pacific Time
1132,positive,0.62,,0.0,US Airways,,User4867,,9,Just had the best flight ever with @Delta. Smooth takeoff and landing. #happy,,2015-07-16 02:39:00 ,Seattle,Mountain Time
1133,positive,0.96,,0.0,Alaska,,User4957,,73,Love the free WiFi on @VirginAmerica. Makes the flight feel so short!,,2015-07-17 06:20:00 ,Miami,
1134,negative,0.78,Flight booking problems,0.99,Delta,,User2030,,64,@Delta flight canceled last minute with no explanation. Stranded at the airport. Terrible!,,2015-07-16 05:02:00 ,Miami,Mountain Time
1135,positive,0.66,,0.0,Virgin America,,User2772,,36,@JetBlue the snacks are always fresh and the crew makes me feel welcome. 5 stars!,,2015-05-11 13:49:00 ,,Pacific Time
1136,negative,0.82,longlines,0.64,Southwest,,User1159,,42,@United my flight was delayed 6 hours and no one gave us a reason. Awful experience.,,2015-02-21 18:42:00 ,Dallas,Pacific Time
1137,neutral,0.76,,0.0,Southwest,,User3086,,76,@United is renovating their United Club at San Francisco International.,,2015-02-22 09:35:00 ,Dallas,Central Time
1138,neutral,0.9,,0.0,Delta,,User2965,,82,@JetBlue flight B6589 is operating as scheduled today.,,2015-07-22 13:32:00 ,,Pacific Time
1139,negative,0.74,Damaged luggage,0.6,Southwest,,User829,,19,@AlaskaAir overbooked and bumped me off my flight. Terrible communication.,,2015-02-20 09:54:00 ,,Pacific Time
1140,neutral,0.55,,0.0,JetBlue,,User1357,,19,@AmericanAir updated the carry-on size requirements for basic economy tickets.,,2015-03-14 05:53:00 ,Miami,Eastern Time
1141,positive,0.89,,0.0,Alaska,,User3678,,78,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-04-14 23:50:00 ,Chicago,
1142,negative,0.96,Lost luggage,0.68,Alaska,,User4321,,59,@Delta I paid for extra legroom and got a middle seat. False advertising much?,,2015-04-14 12:32:00 ,Seattle,Central Time
1143,neutral,0.56,,0.0,US Airways,,User3041,,6,@AmericanAir updated the carry-on size requirements for basic economy tickets.,,2015-07-15 15:55:00 ,Boston,
1144,neutral,0.53,,0.0,Southwest,,User3584,,34,@SouthwestAir baggage fees remain unchanged for domestic flights.,,2015-05-27 16:09:00 ,Boston,Central Time
1145,neutral,0.87,,0.0,JetBlue,,User1932,,6,@JetBlue introduced a new menu for transatlantic flights.,,2015-05-13 16:23:00 ,Seattle,Eastern Time
1146,positive,0.73,,0.0,Delta,,User1197,,91,Amazing flight crew! So friendly and attentive. @AmericanAir you guys rock!,,2015-07-17 10:50:00 ,NYC,Eastern Time
1147,negative,0.88,Canceled flight,0.88,Alaska,,User650,,57,@Delta I paid for extra legroom and got a middle seat. False advertising much?,,2015-07-08 00:57:00 ,,Pacific Time
1148,negative,0.82,longlines,0.56,US Airways,,User1954,,30,@USAirways the seats are so uncomfortable. My back hurts. Never flying with you again.,,2015-04-19 03:03:00 ,Seattle,
1149,positive,0.93,,0.0,Alaska,,User4222,,76,@VirginAmerica The seats were so comfortable and the WiFi actually worked! Will fly again!,,2015-06-18 00:40:00 ,Chicago,Central Time
1150,negative,0.85,Lost luggage,0.79,Southwest,,User2955,,85,@AmericanAir worst customer service ever. Waited 3 hours on the phone. Unacceptable!,,2015-07-22 02:33:00 ,Boston,
1151,positive,0.82,,0.0,JetBlue,,User3059,,60,Always a pleasure flying @VirginAmerica. The mood lighting is so relaxing!,,2015-02-12 20:24:00 ,LA,Eastern Time
1152,positive,0.74,,0.0,Delta,,User2724,,98,Great job @SouthwestAir! Got me home safely despite the weather. Much appreciated!,,2015-06-29 23:48:00 ,NYC,Eastern Time
1153,positive,0.93,,0.0,Southwest,,User3921,,99,@AmericanAir landed safely despite turbulence. Pilots did an amazing job!,,2015-07-26 14:44:00 ,NYC,Central Time
1154,negative,0.98,Late flight,0.65,American,,User2541,,25,@AlaskaAir my miles expired without warning. No courtesy email or anything. Shady practices.,,2015-02-11 10:59:00 ,Seattle,
1155,positive,0.9,,0.0,United,,User2720,,36,Just had the best flight ever with @Delta. Smooth takeoff and landing. #happy,,2015-05-03 01:55:00 ,LA,Eastern Time
1156,neutral,0.86,,0.0,Alaska,,User4076,,49,@AmericanAir flight AA456 is rescheduled to depart at 3:45 PM from Terminal 4.,,2015-04-28 05:31:00 ,Dallas,
1157,negative,0.89,Customer service issue,0.72,Southwest,,User656,,69,@SouthwestAir lost my bag AGAIN. This is the third time. So frustrated!,,2015-04-17 10:06:00 ,Dallas,Pacific Time
1158,negative,0.89,Canceled flight,0.84,Virgin America,,User2889,,57,@AmericanAir your staff at JFK needs serious training. Zero empathy or professionalism.,,2015-02-11 23:55:00 ,Seattle,Pacific Time
1159,positive,0.63,,0.0,JetBlue,,User1311,,46,Just had the best flight ever with @Delta. Smooth takeoff and landing. #happy,,2015-06-12 23:43:00 ,,Central Time
1160,neutral,0.81,,0.0,American,,User3001,,16,@SouthwestAir celebrates 50 years of service this year.,,2015-02-18 07:49:00 ,Dallas,Mountain Time
1161,neutral,0.74,,0.0,Alaska,,User630,,47,@Delta departing on time from ATL to LAX today.,,2015-05-07 14:48:00 ,NYC,
1162,positive,0.86,,0.0,United,,User4089,,14,@AmericanAir landed safely despite turbulence. Pilots did an amazing job!,,2015-02-07 23:11:00 ,Seattle,
1163,negative,0.7,Damaged luggage,0.61,US Airways,,User1112,,88,@AlaskaAir my miles expired without warning. No courtesy email or anything. Shady practices.,,2015-06-06 06:07:00 ,Boston,Mountain Time
1164,negative,0.78,Customer service issue,0.91,Virgin America,,User4506,,85,@United I was charged for TWO bags when I should have only been charged for one. Theft!,,2015-04-30 22:04:00 ,LA,Pacific Time
1165,neutral,0.78,,0.0,Southwest,,User1647,,46,@United is renovating their United Club at San Francisco International.,,2015-06-11 07:07:00 ,NYC,Central Time
